link,Price,Year,Mileage,Fuel,Transmission,EngineCapacity,Power,Color,Doors,Location
https://kocsi.hu/hasznaltauto/ford/focus/focus-i/ford-focus-i-1-4-ambiente-magyarorszagi-teli-nyari-gumikkal-sebvaltozarral-uj-kuplunggal-hirdetesid-tfeb76,440 000 Ft,2003,360 000 km,benzin,manuális/kézi,1 388 cm³,55 kW (75 LE),világoszöld,4 ajtó,BUDAPEST 1028 HIDEGKÚTI ÚT 327
https://kocsi.hu/hasznaltauto/ford/focus/focus-i/ford-focus-i-1-4-ambiente-hirdetesid-xtd53c,449 000 Ft,2001,269 173 km,benzin,manuális/kézi,1 388 cm³,55 kW (75 LE),fekete,5 ajtó,"Budapest, Pesti út 239."
https://kocsi.hu/hasznaltauto/ford/focus/focus-ii/ford-focus-ii-1-4-ambiente-hirdetesid-vy8dd7,699 000 Ft,2006,270 814 km,benzin,manuális/kézi,1 388 cm³,59 kW (80 LE),kék,5 ajtó,"Budapest, Pesti út 239."
https://kocsi.hu/hasznaltauto/ford/focus/focus-c-max/ford-focus-c-max-dm2-hirdetesid-vyy4k4,799 999 Ft,2009,360 000 km,dízel,,1 753 cm³,85 kW (116 LE),fehér,5 ajtó,Telefonos egyeztetés után megtekinthető!
https://kocsi.hu/hasznaltauto/ford/focus/focus-ii/ford-focus-ii-1-4-trend-hirdetesid-sf7rk2,850 000 Ft,2006,316 000 km,benzin,manuális/kézi,1 388 cm³,59 kW (80 LE),,5 ajtó,Telefonos egyeztetés után megtekinthető
https://kocsi.hu/hasznaltauto/ford/focus/focus-ii/ford-focus-ii-1-6-tdci-celebration-dpf-caravan-hirdetesid-r9cw9m,1 075 000 Ft,2008,195 100 km,dízel,manuális/kézi,1 560 cm³,80 kW (109 LE),szürke,5 ajtó,Telefonos egyeztetés után megtekinthető!
https://kocsi.hu/hasznaltauto/ford/focus/focus-ii/ford-focus-ii-1-6-ghia-hirdetesid-99cucp,1 200 000 Ft,2006,235 000 km,benzin,manuális/kézi,1 596 cm³,74 kW (101 LE),világoskék,5 ajtó,Telefonos egyeztetés után megtekinthető!
https://kocsi.hu/hasznaltauto/ford/focus/focus-iii/ford-focus-iii-1-6-tdci-trend-econetic-99g-ford-hirdetesid-5r4fkv,1 250 000 Ft,2013,325 150 km,dízel,manuális/kézi,1 560 cm³,77 kW (105 LE),fekete,5 ajtó,Telefonos egyeztetés után megtekinthető!
https://kocsi.hu/hasznaltauto/ford/focus/focus-ii/ford-focus-ii-1-6-fresh-euro5-hirdetesid-vwzr34,1 290 000 Ft,2010,468 000 km,benzin,manuális/kézi,1 596 cm³,74 kW (101 LE),sárga,5 ajtó,Telefonos egyeztetés után megtekinthető!
https://kocsi.hu/hasznaltauto/ford/focus/focus-i/ford-focus-i-1-6-fresh-hirdetesid-w3fve2,1 390 000 Ft,2004,124 800 km,benzin,manuális/kézi,1 596 cm³,74 kW (101 LE),világosszürke,4 ajtó,Telefonos egyeztetés után megtekinthető!
https://kocsi.hu/hasznaltauto/ford/focus/focus-ii/ford-focus-ii-1-6-tdci-fresh-dpf-vonohorog-mo-i-hirdetesid-ede45y,1 399 000 Ft,2011,271 000 km,dízel,manuális/kézi,1 560 cm³,66 kW (90 LE),szürke,4 ajtó,"1112 Budapest, XI. Budaörsi út 159/B"
